Fresh action,Latency,Traffic,Freshness
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0.5,0.72,0.3,
0.5,0.72,0.3,
0,0.72,0.3,
0,0.72,0.3,
